skills,roadmap category layer1,roadmap category layer2,roadmap category layer3
Version Control,Web Developer General Knowledge,,
Basic Terminal Usage,Web Developer General Knowledge,,
Semantic Versioning,Web Developer General Knowledge,,
Design Patterns,Web Developer General Knowledge,,
Character Encodings,Web Developer General Knowledge,,
Python,Devops Programming Language,,
Ruby,Devops Programming Language,,
Node.js,Devops Programming Language,,
Go,Devops Programming Language,,
Rust,Devops Programming Language,,
C,Devops Programming Language,,
C++,Devops Programming Language,,
Startup management (init),Operating system knowledge,,
Process management,Operating system knowledge,,
Threads and concurrency,Operating system knowledge,,
Sockets,Operating system knowledge,,
POSIX basics,Operating system knowledge,,
Network concept,Operating system knowledge,,
I/O management,Operating system knowledge,,
Virtualization,Operating system knowledge,,
Memory, storage,Operating system knowledge,,
File system,Operating system knowledge,,
Service Management (systemd),Operating system knowledge,,
Suse Linux,Linux,Manage operating system,Management Service
Debian,Linux,Manage operating system,Management Service
Fedora,Linux,Manage operating system,Management Service
Ubuntu,Linux,Manage operating system,Management Service
Centos,Linux,Manage operating system,Management Service
RHEL,Linux,Manage operating system,Management Service
FreeBSD,Unix,Manage operating system,Management Service
OpenBSD,Unix,Manage operating system,Management Service
NetBSD,Unix,Manage operating system,Management Service
WIndows,Windows,Manage operating system,Management Service
DNS,Management Service,Management Service,Management Service
OSI reference model,Management Service,Management Service,Management Service
screen,Terminal,Terminal,Management Service
tmux,Terminal,Terminal,Management Service
terminal multiplexers,Terminal,Terminal,Management Service
awk,Text processing tools,Terminal,Management Service
sed,Text processing tools,Terminal,Management Service
grep,Text processing tools,Terminal,Management Service
sort,Text processing tools,Terminal,Management Service
uniq,Text processing tools,Terminal,Management Service
cat,Text processing tools,Terminal,Management Service
cut,Text processing tools,Terminal,Management Service
echo,Text processing tools,Terminal,Management Service
fmt,Text processing tools,Terminal,Management Service
tr,Text processing tools,Terminal,Management Service
nl,Text processing tools,Terminal,Management Service
egrep,Text processing tools,Terminal,Management Service
fgrep,Text processing tools,Terminal,Management Service
wc,Text processing tools,Terminal,Management Service
ps,Process monitoring,Terminal,Management Service
top,Process monitoring,Terminal,Management Service
htop,Process monitoring,Terminal,Management Service
atop,Process monitoring,Terminal,Management Service
lsof,Process monitoring,Terminal,Management Service
nmap,Network,Terminal,Management Service
tcpdump,Network,Terminal,Management Service
ping,Network,Terminal,Management Service
mtr,Network,Terminal,Management Service
traceroute,Network,Terminal,Management Service
digairmon,Network,Terminal,Management Service
airodump,Network,Terminal,Management Service
iptables,Network,Terminal,Management Service
netstat,Network,Terminal,Management Service
Bash,Terminal,Terminal,Management Service
VIM,Terminal,Terminal,Management Service
Nano,Terminal,Terminal,Management Service
powershell,Terminal,Terminal,Management Service
Emacs,Terminal,Terminal,Management Service
gcc,Source code compiler,Terminal,Management Service
make,Source code compiler,Terminal,Management Service
nmon,System performance,Terminal,Management Service
iostat,System performance,Terminal,Management Service
sar,System performance,Terminal,Management Service
vmstat,System performance,Terminal,Management Service
strace,other,Terminal,Management Service
dtrace,other,Terminal,Management Service
systemtap,other,Terminal,Management Service
uname,other,Terminal,Management Service
df,other,Terminal,Management Service
history,other,Terminal,Management Service
APIs,Network, security and protocol,Network, security and protocol,
HTTP,Network, security and protocol,Network, security and protocol,
HTTPS,Network, security and protocol,Network, security and protocol,
FTP,Network, security and protocol,Network, security and protocol,
SSL,Network, security and protocol,Network, security and protocol,
TLS,Network, security and protocol,Network, security and protocol,
SSH,Network, security and protocol,Network, security and protocol,
Port forwarding,Network, security and protocol,Network, security and protocol,
SMTP,Emails,Network, security and protocol,
IMAPS,Emails,Network, security and protocol,
POP3S,Emails,Network, security and protocol,
DMARC,Emails,Network, security and protocol,
SPF,Emails,Network, security and protocol,
Domain Keys,Emails,Network, security and protocol,
Cache server,Need to understand / configure,,
Load balancing,Need to understand / configure,,
Reverse proxy,Need to understand / configure,,
Forward agent,Need to understand / configure,,
Firewall,Need to understand / configure,,
IIS,Web Server,,
Nginx,Web Server,,
Apache,Web Server,,
Tomcat,Web Server,,
Caddy,Web Server,,
Istio,Server Mesh,Architecture,
Envoy,Server Mesh,Architecture,
Linkerd,Server Mesh,Architecture,
Azure DevOps Code,CI (Continuous Integration),Architecture,
AWS CodeBuild,CI (Continuous Integration),Architecture,
Gradle,CI (Continuous Integration),Architecture,
Gitlab CI,CI (Continuous Integration),Architecture,
Github Actions,CI (Continuous Integration),Architecture,
Bamboo,CI (Continuous Integration),Architecture,
Azure DevOps,CI (Continuous Integration),Architecture,
Hudson,CI (Continuous Integration),Architecture,
Jenkins,CI (Continuous Integration),Architecture,
Travis CI,CI (Continuous Integration),Architecture,
TeamCity,CI (Continuous Integration),Architecture,
Circle CI,CI (Continuous Integration),Architecture,
Go CD,CD (Continuous Delivery),Architecture,
Gitlab CD,CD (Continuous Delivery),Architecture,
Harness,CD (Continuous Delivery),Architecture,
Codefresh,CD (Continuous Delivery),Architecture,
XL Release,CD (Continuous Delivery),Architecture,
Amazon ECS,container,Architecture,
Red Hat OpenShift,container,Architecture,
Amazon EKS,container,Architecture,
Azure AKS,container,Architecture,
Google GKE,container,Architecture,
Rancher,container,Architecture,
HashiCorp Packer,container,Architecture,
Helm,container,Architecture,
Docker,container,Architecture,
LXC,container,Architecture,
Rudder,Configuration management,Architecture,
Etcd,Configuration management,Architecture,
CFEngine,Configuration management,Architecture,
HashiCorp Consul,Configuration management,Architecture,
Ansible,Configuration management,Architecture,
Salt Saltstack,Configuration management,Architecture,
Chef,Configuration management,Architecture,
Puppet,Configuration management,Architecture,
Kubernetes K8S,Container orchestration,Architecture,
Docker Swarm,Container orchestration,Architecture,
Mesos,Container orchestration,Architecture,
Nomad,Container orchestration,Architecture,
Docker bench,Container Security,Architecture,
Clair,Container Security,Architecture,
Anchore Engine,Container Security,Architecture,
Aquasec,Container Security,Architecture,
Open Policy Agent,K8s Compliance Tools,Architecture,
Docker Content Trust,K8s Compliance Tools,Architecture,
Terraform,Basic regulations,Architecture,
CloudFormation,Basic regulations,Architecture,
Puluml,Basic regulations,Architecture,
AWS,Cloud service,Cloud mode,
Google Cloud,Cloud service,Cloud mode,
Azure,Cloud service,Cloud mode,
Heroku,Cloud service,Cloud mode,
Ali Cloud,Cloud service,Cloud mode,
Scalyr,Log monitoring,App/Infrastructure,
ELK Elasticsearch Logstash Kibana,Log monitoring,Cloud mode,
Graylog,Log monitoring,Cloud mode,
Fluentd,Log monitoring,App/Infrastructure,
Syslog-ng,Log monitoring,App/Infrastructure,
logz.io,Log monitoring,App/Infrastructure,
Splunk,Log monitoring,Cloud mode,
Papertrail,Log monitoring,Cloud mode,
Code Climate,Basic monitoring,App/Infrastructure,
Supervisor,Basic monitoring,App/Infrastructure,
Prometheus,Basic monitoring,Cloud mode,
Riemann,Basic monitoring,App/Infrastructure,
Sensu,Basic monitoring,App/Infrastructure,
Sematext,Basic monitoring,App/Infrastructure,
Nagios,Basic monitoring,Cloud mode,
Kibana,Basic monitoring,Cloud mode,
Grafana,Basic monitoring,Cloud mode,
Zabbix,Basic monitoring,Cloud mode,
Monit,Basic monitoring,Cloud mode,
Datadog,Basic monitoring,Cloud mode,
Jaeger,Application monitoring,Cloud mode,
New Relic,Application monitoring,Cloud mode,
Sumologic,Application monitoring,App/Infrastructure,
Dynatrace,Application monitoring,App/Infrastructure,
AppDynamics,Application monitoring,Cloud mode,
Instana,Application monitoring,Cloud mode,
OpenTracing,Application monitoring,Cloud mode,
Digtal Ocean,Cloud provider,Cloud mode,
Linode,Cloud provider,Cloud mode,
Vultr,Cloud provider,Cloud mode,
Microsoft Teams,DevOps Tools for Collaboration,,
Mattermost,DevOps Tools for Collaboration,,
Atlassian Confluence,DevOps Tools for Collaboration,,
Stack Overflow,DevOps Tools for Collaboration,,
Slack,DevOps Tools for Collaboration,,
Cisco Webex teams,DevOps Tools for Collaboration,,
Flock,DevOps Tools for Collaboration,,
Google Hangouts,DevOps Tools for Collaboration,,
Flow Dock,DevOps Tools for Collaboration,,
BMC Helix ITSM,Planning & Project Management Tools,,
ServiceNow,Planning & Project Management Tools,,
PagerDuty,Planning & Project Management Tools,,
TOPdesk,Planning & Project Management Tools,,
Jira,Planning & Project Management Tools,,
Trello,Planning & Project Management Tools,,
Clarizen,Planning & Project Management Tools,,
Asana,Planning & Project Management Tools,,
Backlog.com,Planning & Project Management Tools,,
Monday.com,Planning & Project Management Tools,,
embold,Source Code Management,Developer Productivity Tools,
SVN,Source Code Management,Developer Productivity Tools,
Git,Source Code Management,Developer Productivity Tools,
GitLab SCM,Source Code Management,Developer Productivity Tools,
Compuware ISPW,Source Code Management,Developer Productivity Tools,
Subversion,Source Code Management,Developer Productivity Tools,
Github,Source Code Management,Developer Productivity Tools,
Bitbucket,Source Code Management,Developer Productivity Tools,
Gitlab,Source Code Management,Developer Productivity Tools,
AWS CodeCommit,Source Code Management,Developer Productivity Tools,
Azure Repos,Source Code Management,Developer Productivity Tools,
Google Cloud Source Repositories,Source Code Management,Developer Productivity Tools,
HashiCorp Vagrant,Environment Setup,Developer Productivity Tools,
Docker,Environment Setup,Developer Productivity Tools,
Minikube,Environment Setup,Developer Productivity Tools,
Minishift,Environment Setup,Developer Productivity Tools,
Postman,API Tools,Developer Productivity Tools,
SoapUI,API Tools,Developer Productivity Tools,
Apache Ant,Build Tools,,
Grunt,Build Tools,,
Maven Java,Build Tools,,
Gradle Build,Build Tools,,
Rake Ruby,Build Tools,,
MSBuild .Net,Build Tools,,
Pybuilder Python,Build Tools,,
zabbix,Artifact/Package Management,,
CloudRepo,Artifact/Package Management,,
Sonatype Nexus,Artifact/Package Management,,
npm,Artifact/Package Management,,
JFrog Artifactory,Artifact/Package Management,,
Docker Hub,Artifact/Package Management,,
Yarn,Artifact/Package Management,,
Nuget .Net,Artifact/Package Management,,
Backlog,Bug/Issue Tracking Tools,,
Bugzilla,Bug/Issue Tracking Tools,,
Jira,Bug/Issue Tracking Tools,,
Lean testing,Bug/Issue Tracking Tools,,
Mantis,Bug/Issue Tracking Tools,,
AccelQ,Codeless Test Automation tools,,
Appvance,Codeless Test Automation tools,,
Testim.io,Codeless Test Automation tools,,
QuerySurge,Test Automation/Performance Testing Tools,,
Basis Technologies,Test Automation/Performance Testing Tools,,
Test.ai,Test Automation/Performance Testing Tools,,
Ranorex,Test Automation/Performance Testing Tools,,
Tricentis Tosca,Test Automation/Performance Testing Tools,,
Neotys NeoLoad,Test Automation/Performance Testing Tools,,
JUnit,Test Automation/Performance Testing Tools,,
Sauce Labs,Test Automation/Performance Testing Tools,,
Squash TM,Test Automation/Performance Testing Tools,,
Parasoft,Test Automation/Performance Testing Tools,,
Cucumber,Test Automation/Performance Testing Tools,,
JMeter,Test Automation/Performance Testing Tools,,
Compuware Topaz,Test Automation/Performance Testing Tools,,
TestNG,Test Automation/Performance Testing Tools,,
Selenium,Test Automation/Performance Testing Tools,,
UFT,Test Automation/Performance Testing Tools,,
Appium,Test Automation/Performance Testing Tools,,
Blazemeter,Test Automation/Performance Testing Tools,,
Atlassian Jira Align,Enterprise Agile Planning,,
Targetprocess,Enterprise Agile Planning,,
Planview,Enterprise Agile Planning,,
Digial.ai Agility,Enterprise Agile Planning,,
Broadcom Rally,Enterprise Agile Planning,,
AWS,Cloud,,
Azure,Cloud,,
Google Cloud,Cloud,,
IBM Cloud,Cloud,,
OpenStack,Cloud,,
Liquibase,Database Management,,
Delphix,Database Management,,
IDERA,Database Management,,
Quest Toad,Database Management,,
DBmaestro,Database Management,,
ProductionMap,Deployment,,
Capistrano,Deployment,,
Azure DevOps Pipelines,Deployment,,
UrbanCode Deploy,Deployment,,
Harness,Deployment,,
Spinnaker,Deployment,,
CloudBees Flow,Deployment,,
Octopus Deploy,Deployment,,
Digital.ai Deploy,Deployment,,
AWS CodeDeploy,Deployment,,
Patch Manager,Security,,
OWASP ZAP,Security,,
Snyk,Security,,
Netsparker,Security,,
Sonatype Nexus IQ,Security,,
CyberArk Conjur,Security,,
Veracode,Security,,
Aqua Security,Security,,
HashiCorp Vault,Security,,
SonarQube,Security,,
Synopsys Black Duck,Security,,
Snort,Security,,
Micro Focus Fortify SCA,Security,,
Digital.ai App Protect,Security,,
Checkmarx SAST,Security,,
PortSwigger Burp Suite,Security,,
CloudBees Flow,Release Management,,
Digital.ai Release,Release Management,,
UrbanCode Release,Release Management,,
